FA20-BS(SE)-4-B,Data Structures and Algorithms,1,10000,CS Ms. Arooj Fatima,C Lab3
FA20-BS(SE)-4-B,Object Oriented SE,1,10,CS MS Rabail Asghar,C Lab3
FA20-BS(SE)-4-B,Game Development,1,1,CS Ms. Amina Hussain,Cisco Lab
FA20-BS(SE)-4-C,Object Oriented SE,1,1,CS Ms. Uzma Latif,C1
FA20-BS(SE)-4-C,Game Development,1,1000,CS Mr. Ali Sher Kashif,B5
FA20-BS(SE)-4-C,Game Development,1,10000,CS Ms. Amina Hussain,C Lab4
FA20-BS(SE)-4-C,Database System - I,1,10,CS Sharmeen Mahmood,C Lab4
FA20-BS(SE)-4-C,Object Oriented SE,1,100,CS MS Rabail Asghar,MS Lab
SP20-BS(SE)-5-A,Introduction to Mnagement,1,10000,MS Mr Bilal Mian,B13
SP20-BS(SE)-5-A,Introduction to Mnagement,1,100,MS Mr Bilal Mian,B14
SP20-BS(SE)-5-A,Data Communications and Computer Networks,1,1,EE Mr Asad Ali Khan,C Lab3
FA19-BS(SE)-6-A,Introduction to Data Science,1,1,CS Ms. Raheela Shahzadi,C2
FA19-BS(SE)-6-A,Information Security,1,10,CS Mr. Muhammad Umar,C4
FA19-BS(SE)-6-A,Introduction to Data Science,1,1000,CS Ms. Raheela Shahzadi,C2.5
FA19-BS(SE)-6-B,Introduction to Data Science,1,10000,CS Ms. Raheela Shahzadi,C2
FA19-BS(SE)-6-B,Information Security,1,100,CS Mr. Muhammad Umar,C2
FA19-BS(SE)-6-B,Introduction to Data Science,1,10,CS Ms. Raheela Shahzadi,C2.2
SP19-BS(SE)-7-A,Formal Methods,1,10,CS Ms. Uzma Latif,C2
SP19-BS(SE)-7-A,Human Computer Interaction,1,100,CS Ms. Raheela Shahzadi,W1
SP19-BS(SE)-7-A,Software Project Management,1,1000,CS Mr Shafqat Ali,C Lab3
SP19-BS(SE)-7-A,Human Computer Interaction,1,1,CS Ms. Zamzam,C Lab4
SP19-BS(SE)-7-A,Software Project Management,1,10000,CS Mr Shafqat Ali,MS Lab
FA18-BS(SE)-8-A,Software Testing,1,10,CS Ms. Azka Mehmood,B3
FA18-BS(SE)-8-B,Software Testing,1,100,CS Ms. Azka Mehmood,B6
SP22-BS(CS)-1-A,Mathematics I,1,10000,ME Mr. Zafar,C1
